compound_name,pubchem_cid,smiles,family,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
CID_314,314,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1,Carbamates,CHEMBL296272,sqlite_smiles,ok,1,
CID_317,317,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,Carbamates,,,not_found,0,
CID_322,322,O=C(O)C=Cc1ccc(O)cc1,Carbamates,,,not_found,0,
CID_346,346,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,Carbamates,CHEMBL79041,sqlite_smiles,ok,1,
CID_363,363,NCC=O,Carbamates,CHEMBL296723,sqlite_smiles,ok,1,
CID_402,402,S,Carbamates,CHEMBL1200739,sqlite_smiles,ok,1,HYDROGEN SULFIDE
CID_421,421,O=C(O)CCCCC(S)CCS,Carbamates,,,not_found,0,
CID_423,423,CC(=O)CC(N)C(=O)O,Carbamates,,,not_found,0,
CID_449,449,CC(O)(CCO)CC(=O)O,Carbamates,,,not_found,0,
CID_460,460,COc1ccccc1O,Carbamates,CHEMBL13766,sqlite_smiles,ok,1,GUAIACOL
CID_464,464,O=C(O)CNC(=O)c1ccccc1,Carbamates,CHEMBL461,sqlite_smiles,ok,1,HIPPURIC ACID
CID_527,527,CCC=O,Carbamates,CHEMBL275626,sqlite_smiles,ok,1,PROPIONALDEHYDE
CID_546,546,O=C(O)CP(=O)(O)O,Carbamates,CHEMBL50300,sqlite_smiles,ok,1,FOSFONET
CID_586,586,CN(CC(=O)O)C(=N)N,Carbamates,CHEMBL283800,sqlite_smiles,ok,1,CREATINE
CID_588,588,CN1CC(=O)N=C1N,Carbamates,,,not_found,0,
CID_595,595,NC(CSSCC(N)C(=O)O)C(=O)O,Carbamates,CHEMBL366563,sqlite_smiles,ok,1,
CID_596,596,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,Carbamates,CHEMBL78,sqlite_smiles,ok,1,
CID_3,3,O=C(O)C1=CC=CC(O)C1O,Triazines,,,not_found,0,
CID_16,16,O=C1CCCCCNC(=O)CCCCCN1,Triazines,,,not_found,0,
CID_17,17,O=C(O)C1=NC(C(=O)O)CC=C1,Triazines,,,not_found,0,
CID_19,19,O=C(O)c1cccc(O)c1O,Triazines,CHEMBL1432,sqlite_smiles,ok,1,"2,3-DIHYDROXYBENZOIC ACID"
CID_20,20,O=C(O)CCc1cccc(O)c1O,Triazines,,,not_found,0,
CID_22,22,CC(=O)C(C)(O)C(=O)O,Triazines,,,not_found,0,
CID_30,30,NC(=CC=CC=O)C(=O)O,Triazines,,,not_found,0,
CID_32,32,O=C(O)C=CC=C(C(=O)O)C(=O)O,Triazines,,,not_found,0,
CID_36,36,CC(C)C(C(=O)O)C(O)C(=O)O,Triazines,,,not_found,0,
CID_38,38,CC(C)(CO)C(=O)C(=O)O,Triazines,,,not_found,0,
CID_39,39,CC1(C)COC(=O)C1=O,Triazines,,,not_found,0,
CID_40,40,OCC1OC(O)CC(O)C1O,Triazines,CHEMBL1880349,sqlite_smiles,ok,1,2-DEOXY-D-GLUCOSE
CID_43,43,O=C(O)CCC(O)C(=O)O,Triazines,CHEMBL4870693,sqlite_smiles,ok,1,
CID_45,45,O=C(O)C(O)C(=O)O,Triazines,CHEMBL1794676,sqlite_smiles,ok,1,
CID_49,49,CC(C)C(=O)C(=O)O,Triazines,CHEMBL146554,sqlite_smiles,ok,1,2-Oxoisovalerate
CID_51,51,O=C(O)CCC(=O)C(=O)O,Triazines,CHEMBL1686,sqlite_smiles,ok,1,ALPHA-KETOGLUTARIC ACID
CID_58,58,CCC(=O)C(=O)O,Triazines,CHEMBL171246,sqlite_smiles,ok,1,
CID_61,61,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,Triazines,CHEMBL144103,sqlite_smiles,ok,1,
CID_63,63,CC(N)CC(N)C(=O)O,Triazines,,,not_found,0,
CID_67,67,O=C(O)C(=O)C(O)C(O)C(=O)CO,Triazines,,,not_found,0,
CID_71,71,O=C(O)CCCC(=O)C(=O)O,Triazines,,,not_found,0,
CID_72,72,O=C(O)c1ccc(O)c(O)c1,Triazines,CHEMBL37537,sqlite_smiles,ok,1,PROTOCATECHUIC ACID
CID_85,85,C[N+](C)(C)CC(O)CC(=O)O,Triazines,CHEMBL1620698,sqlite_smiles,ok,1,
CID_86,86,Nc1c(O)cccc1C(=O)O,Triazines,CHEMBL445304,sqlite_smiles,ok,1,
CID_87,87,CC(CO)C(=O)O,Triazines,,,not_found,0,
CID_102,102,OCc1cccc(O)c1,Triazines,CHEMBL3337531,sqlite_smiles,ok,1,
CID_111,111,NC(=O)NCCC(=O)O,Triazines,CHEMBL20962,sqlite_smiles,ok,1,
CID_118,118,NCCCC=O,Triazines,CHEMBL2261442,sqlite_smiles,ok,1,4-AMINOBUTANAL
CID_126,126,O=Cc1ccc(O)cc1,Triazines,CHEMBL14193,sqlite_smiles,ok,1,4-HYDROXYBENZALDEHYDE
